code;name_pl;name_en
A00;Choroba zakaźna wywołana przez Vibrio cholerae [cholera];
A00.0;Cholera wywołana przez Vibrio cholerae 01, biotyp cholerae;Cholera due to Vibrio cholerae 01, biovar cholerae
A00.1;Cholera wywołana przez Vibrio cholerae 01, biotyp El-Tor;Cholera due to Vibrio cholerae 01, biovar eltor
A00.9;Cholera, nieokreślona;Cholera, unspecified
A01;Choroba zakaźna wywołana przez Salmonella typhi i Salmonella paratyphi [dur brzuszny i dury rzekome];
A01.0;Dur brzuszny;Typhoid fever
A01.1;Dur rzekomy A;Paratyphoid fever A
A01.2;Dur rzekomy B;Paratyphoid fever B
A01.3;Dur rzekomy C;Paratyphoid fever C
A01.4;Dur rzekomy, nieokreślony;Paratyphoid fever, unspecified
A02;Inne zakażenia wywołane przez Salmonella;
A02.0;Zatrucie pokarmowe wywołane przez Salmonella;Salmonella enteritis
A02.1;Posocznica wywołana przez Salmonella;Salmonella septicaemia
A02.2;Ogniskowe zakażenia wywołane przez Salmonella;Localized salmonella infections
A02.8;Inne określone zakażenia wywołane przez Salmonella;Other specified salmonella infections
A02.9;Zakażenie wywołane przez Salmonella, nieokreślone;Salmonella infection, unspecified
A03;Choroba zakaźna wywołana przez Shigella [szigelloza];
A03.0;Szigelloza wywołana przez Shigella dysenteriae;Shigellosis due to Shigella dysenteriae
A03.1;Szigelloza wywołana przez Shigella flexneri;Shigellosis due to Shigella flexneri
A03.2;Szigelloza wywołana przez Shigella boydii;Shigellosis due to Shigella boydii
A03.3;Szigelloza wywołana przez Shigella sonnei;Shigellosis due to Shigella sonnei
A03.8;Inne szigellozy;Other shigellosis
A03.9;Szigelloza, nieokreślona;Shigellosis, unspecified
A04;Inne bakteryjne zakażenia jelit;
A04.0;Zakażenie Escherichia coli enteropatogenną;Enteropathogenic Escherichia coli infection
A04.1;Zakażenie Escherichia coli enterotoksyczną;Enterotoxigenic Escherichia coli infection
A04.2;Zakażenie Escherichia coli enteroinwazyjną;Enteroinvasive Escherichia coli infection
A04.3;Zakażenie Escherichia coli enterokrwotoczną;Enterohaemorrhagic Escherichia coli infection
A04.4;Inne zakażenia jelit wywołane przez Escherichia coli;Other intestinal Escherichia coli infections
A04.5;Zapalenie jelit wywołane przez Campylobacter;Campylobacter enteritis
A04.6;Zapalenie jelit wywołane przez Yersinia enterocolitica;Enteritis due to Yersinia enterocolitica
A04.7;Zapalenie jelita cienkiego i grubego wywołane przez Clostridium difficile;Enterocolitis due to Clostridium difficile
A04.8;Inne określone jelitowe zakażenia bakteryjne;Other specified bacterial intestinal infections
A04.9;Jelitowe zakażenie bakteryjne, nieokreślone;Bacterial intestinal infection, unspecified
A05;Inne bakterie zawarte w pokarmie powodujące zatrucia niesklasyfikowane gdzie indziej;
A05.0;Pokarmowe zatrucie gronkowcowe;Foodborne staphylococcal intoxication
A05.1;Zatrucie pokarmowe wywołane przez Clostridium botulinum;Botulism
A05.2;Zatrucie pokarmowe wywołane przez Clostridium perfringens [Clostridium welchii];Foodborne Clostridium perfringens [Clostridium welchii] intoxication
A05.3;Zatrucie pokarmowe wywołane przez Vibrio parahaemolyticus;Foodborne Vibrio parahaemolyticus intoxication
A05.4;Zatrucie pokarmowe wywołane przez Bacillus cereus;Foodborne Bacillus cereus intoxication
A05.8;Inne określone bakteryjne zatrucia pokarmowe;Other specified bacterial foodborne intoxications
A05.9;Bakteryjne zatrucie pokarmowe, nieokreślone;Bacterial foodborne intoxication, unspecified
A06;Choroba zakaźna wywołana przez Entamoeba histolytica [pełzakowica] [ameboza];
A06.0;Ostra czerwonka pełzakowa;Acute amoebic dysentery
A06.1;Przewlekła pełzakowica jelitowa;Chronic intestinal amoebiasis
A06.2;Pełzakowy nieczerwonkowy nieżyt jelita grubego;Amoebic nondysenteric colitis
A06.3;Guz pełzakowy jelita;Amoeboma of intestine
A06.4;Pełzakowy ropień wątroby;Amoebic liver abscess
A06.5;Choroba zakaźna wywołana przez Entamoeba histolytica [pełzakowica] [ameboza];Amoebic lung abscess
A06.6;Choroba zakaźna wywołana przez Entamoeba histolytica [pełzakowica] [ameboza];Amoebic brain abscess
A06.7;Pełzakowica skórna;Cutaneous amoebiasis
A06.8;Pełzakowe zakażenie o innym umiejscowieniu;Amoebic infection of other sites
A06.9;Pełzakowica, nieokreślona;Amoebiasis, unspecified
A07;Inne pierwotniakowe choroby jelit;
A07.0;Choroba wywołana przez Balantidium coli;Balantidiasis
A07.1;Choroba wywołana przez Giardia intestinalis (Giardia lamblia) [giardioza];Giardiasis [lambliasis]
A07.2;Choroba wywołana przez Cryptosporidium parvum [kryptosporydioza];Cryptosporidiosis
A07.3;Izosporoza;Isosporiasis
A07.8;Inne określone choroby jelit wywołane przez pierwotniaki;Other specified protozoal intestinal diseases
A07.9;Choroby jelit wywołane przez pierwotniaki, nieokreślone;Protozoal intestinal disease, unspecified
A08;Wirusowe i inne określone zakażenia jelit;
A08.0;Zapalenie jelit wywołane przez rotawirusy;Rotaviral enteritis
A08.1;Ostra gastroenteropatia wywołana przez wirus Norwalk;Acute gastroenteropathy due to Norwalk agent
A08.2;Zapalenie jelit wywołane przez adenowirusy;Adenoviral enteritis
A08.3;Zapalenie jelit wywołane przez inne wirusy;Other viral enteritis
A08.4;Wirusowe zakażenie jelit, nieokreślone;Viral intestinal infection, unspecified
A08.5;Inne określone zakażenia jelit;Other specified intestinal infections
A09;Biegunka i zapalenie żołądkowo-jelitowe o przypuszczalnie zakaźnej etiologii;Diarrhoea and gastroenteritis of presumed infectious origin
A15;Gruźlica układu oddechowego, potwierdzona bakteriologicznie i histologicznie;
A15.0;Gruźlica płuc, potwierdzona mikroskopowym badaniem plwociny, z posiewem lub bez posiewu;Tuberculosis of lung, confirmed by sputum microscopy with or without culture
A15.1;Gruźlica płuc potwierdzona wyłącznie posiewem;Tuberculosis of lung, confirmed by culture only
A15.2;Gruźlica płuc potwierdzona histologicznie;Tuberculosis of lung, confirmed histologically
A15.3;Gruźlica płuc potwierdzona nieokreślonymi metodami;Tuberculosis of lung, confirmed by unspecified means
A15.4;Gruźlica wewnątrzpiersiowych węzłów chłonnych, potwierdzona bakteriologicznie i histologicznie;Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically
A15.5;Gruźlica krtani, tchawicy i oskrzela, potwierdzona bakteriologicznie i histologicznie;Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically
A15.6;Gruźlicze zapalenie opłucnej, potwierdzone bakteriologicznie i histologicznie;Tuberculous pleurisy, confirmed bacteriologically and histologically
A15.7;Pierwotna gruźlica układu oddechowego, potwierdzona bakteriologicznie i histologicznie;Primary respiratory tuberculosis, confirmed bacteriologically and histologically
A15.8;Inne postacie gruźlicy układu oddechowego, potwierdzone bakteriologicznie i histologicznie;Other respiratory tuberculosis, confirmed bacteriologically and histologically
A15.9;Gruźlica układu oddechowego nieokreślona, potwierdzona bakteriologicznie i histologicznie;Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically
A16;Gruźlica układu oddechowego, niepotwierdzona bakteriologicznie lub histologicznie;
A16.0;Gruźlica płuc, bakteriologicznie i histologicznie ujemna;Tuberculosis of lung, bacteriologically and histologically negative
A16.1;Gruźlica płuc, badań bakteriologicznych i histologicznych nie przeprowadzono;Tuberculosis of lung, bacteriological and histological examination not done
A16.2;Gruźlica płuc, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;Tuberculosis of lung, without mention of bacteriological or histological confirmation
A16.3;Gruźlica wewnątrzpiersiowych węzłów chłonnych, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation
A16.4;Gruźlica krtani, tchawicy i oskrzela, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation
A16.5;Gruźlicze zapalenie opłucnej, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;Tuberculous pleurisy, without mention of bacteriological or histological confirmation
A16.7;Pierwotna gruźlica układu oddechowego, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
A16.8;Inne postacie gruźlicy układu oddechowego, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;Other respiratory tuberculosis, without mention of bacteriological or histological confirmation
A16.9;Gruźlica układu oddechowego, nieokreślona, bez informacji o potwierdzeniu bakteriologicznym lub histologicznym;Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation
A17.0;Tuberculous meningitis;Tuberculous meningitis
A17.1;Meningeal tuberculoma;Meningeal tuberculoma
A17.8;Other tuberculosis of nervous system;Other tuberculosis of nervous system
A17.9;Tuberculosis of nervous system, unspecified;Tuberculosis of nervous system, unspecified
A18;Gruźlica innych narządów;
A18.0;Gruźlica innych narządów;Tuberculosis of bones and joints
A18.1;Gruźlica układu moczowo-płciowego;Tuberculosis of genitourinary system
A18.2;Gruźlicza limfadenopatia obwodowa;Tuberculous peripheral lymphadenopathy
A18.3;Gruźlica jelit, otrzewnej i węzłów chłonnych krezkowych;Tuberculosis of intestines, peritoneum and mesenteric glands
A18.4;Gruźlica skóry i tkanki podskórnej;Tuberculosis of skin and subcutaneous tissue
A18.5;Gruźlica oka;Tuberculosis of eye
A18.6;Gruźlica ucha;Tuberculosis of ear
A18.7;Gruźlica innych narządów;Tuberculosis of adrenal glands
A18.8;Gruźlica innych określonych narządów;Tuberculosis of other specified organs
A19;Gruźlica prosówkowa;
A19.0;Gruźlica prosówkowa ostra o pojedynczej określonej lokalizacji;Acute miliary tuberculosis of a single specified site
A19.1;Gruźlica prosówkowa ostra o wielomiejscowej lokalizacji;Acute miliary tuberculosis of multiple sites
A19.2;Gruźlica prosówkowa ostra, nieokreślona;Acute miliary tuberculosis, unspecified
A19.8;Inne postacie gruźlicy prosówkowej;Other miliary tuberculosis
A19.9;Gruźlica prosówkowa, nieokreślona;Miliary tuberculosis, unspecified
A20;Choroba zakaźna wywołana przez Yersinia pestis [dżuma];
A20.0;Dżuma dymienicza;Bubonic plague
